Rank,teamId,teamImageId,teamFullName,team,teamAbbrevName,teamShortName,newestTeamColor,leagueId,leagueName,MinIncET,DistanceRun,WalkDist,JogDist,RunDist,HiSpeedRunDist,SprintDist,WalkCount,JogCount,RunCount,HiSpeedRunCount,SprintCount,optaTeamId,week,game,home,away,win,draw,loss,date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,result,scatterId,scatterExtra
TOTAL,,,,-,,,,,,251102,24274919,7252091,11940630,3348365,1284274,411532,759701,1034273,243886,80485,20937,,,,,,,,,,,,,,,,,,,,-,,
AVERAGE,,,,-,,,,,,1064.0,24274919,7252091,11940630,3348365,1284274,411532,759701,1034273,243886,80485,20937,,,,,,,,,,,,,,,,,,,,-,,

Rank,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,newestTeamColor,leagueId,leagueName,MinIncET,DistanceRun,WalkDist,JogDist,RunDist,HiSpeedRunDist,SprintDist,WalkCount,JogCount,RunCount,HiSpeedRunCount,SprintCount,optaTeamId,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
1,67igj3fctu1kt6ntkrwpdt72i,921,Châteauroux,Châteauroux,CHA,Châteauroux,#0000FF,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1076,"112,081","34,045","53,507","15,692",6199.2,1921.8,3287,4422,1121,387,103,921,1,CHA vs VFC,true,false,false,true,false,2025-08-08,9kjs0g4b4ujxe2l0wbzasjevo,g8cvbv4wrvq7uf4347yjkd35,1996,1996,Châteauroux,Valenciennes,VFC,0,0,Played,T 0-0,2585252,CHA vs VFC (2025-08-08)
1,f0ticxo5bjjif0gb54ewfdppm,21581,Paris 13 Atletico,Paris 13 Atletico,P13,Paris 13,,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1097,"112,059","34,583","54,577","15,511",5957.1,1846.6,3425,4682,1144,372,98,21581,1,P13 vs QRM,true,false,true,false,false,2025-08-08,9mq6uzg207budbj97hs6mfl04,8ng94h4147jxd5oxgoaa95yl4,2541,2541,Paris 13 Atletico,Quevilly-Rouen Métropole,QRM,1,0,Played,W 1-0,2585257,P13 vs QRM (2025-08-08)
1,7gytr31zcn0gcewa7pu1ed5hz,9600,Aubagne,Aubagne,AUB,Aubagne,,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1057,"113,056","32,221","55,602","16,749",6180.4,1600.8,3338,4718,1228,399,90,9600,1,CAE vs AUB,false,true,false,false,true,2025-08-08,9n55926todt99jo6fw6ckxwd0,ab80vest6tgco121qtfyphq7c,1028,1028,Aubagne,Caen,CAE,0,3,Played,L 0-3,2585258,CAE vs AUB (2025-08-08)
1,79dc2mv3x269nhix3mkhc5wfu,2130,Dijon,Dijon,DIJ,Dijon,#FFA500,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1054,"113,451","34,696","56,428","15,719",5873.8,1829.8,3642,4905,1125,379,89,2130,1,ORL vs DIJ,false,true,true,false,false,2025-08-08,9mbbx6uepbmlo5vas50d63ehg,d79cmam5svw9j2mplbu9kut7p,6785,6785,Dijon,Orléans,ORL,2,1,Played,W 2-1,2585256,ORL vs DIJ (2025-08-08)
1,d79cmam5svw9j2mplbu9kut7p,6785,Orléans,Orléans,ORL,Orléans,#FFFF00,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1054,"110,804","34,914","54,646","13,965",5063.3,1618.9,3691,4891,1032,335,84,6785,1,ORL vs DIJ,true,false,false,false,true,2025-08-08,9mbbx6uepbmlo5vas50d63ehg,79dc2mv3x269nhix3mkhc5wfu,2130,2130,Orléans,Dijon,DIJ,1,2,Played,L 1-2,2585256,ORL vs DIJ (2025-08-08)
1,d9kwaceoj54pfprd6oc2hwae6,693,Sochaux,Sochaux,SOC,Sochaux,#FFFF00,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1083,"109,136","36,004","51,375","13,583",5924.7,2374.5,3588,4629,1002,367,118,693,1,PUY vs SOC,false,true,true,false,false,2025-08-08,9lwd2ch8zx6y2ndb04n937zf8,9ri5xhi5qaozcqb7svbvcc4eu,14035,14035,Sochaux,Le Puy Foot,PUY,1,0,Played,W 1-0,2585255,PUY vs SOC (2025-08-08)
1,9ri5xhi5qaozcqb7svbvcc4eu,14035,Le Puy Foot,Le Puy Foot,PUY,Le Puy,,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1083,"111,485","35,266","55,433","14,370",5699.0,2321.6,3629,4808,1034,361,119,14035,1,PUY vs SOC,true,false,false,false,true,2025-08-08,9lwd2ch8zx6y2ndb04n937zf8,d9kwaceoj54pfprd6oc2hwae6,693,693,Le Puy Foot,Sochaux,SOC,0,1,Played,L 0-1,2585255,PUY vs SOC (2025-08-08)
1,rv0okxl2zv1ow3me605xl8b5,3271,Stade Briochin,Stade Briochin,SBR,Stade Briochin,,1qd0wvt30rlswa4g6nu4na660,National 1 (France),972,"100,067","31,682","48,676","13,441",4876.1,1465.2,3120,4202,999,311,87,3271,1,SBR vs VRS,true,false,false,false,true,2025-08-08,9nll2gzzo1za22ry9tffi6jh0,dse1eu8y1o3t00rlbxpgo084c,5427,5427,Stade Briochin,Versailles,VRS,0,1,Played,L 0-1,2585259,SBR vs VRS (2025-08-08)
1,g8cvbv4wrvq7uf4347yjkd35,1996,Valenciennes,Valenciennes,VFC,Valenciennes,#FF0000,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1076,"111,015","34,266","52,258","16,038",5939.9,1914.9,3238,4440,1151,379,92,1996,1,CHA vs VFC,false,true,false,true,false,2025-08-08,9kjs0g4b4ujxe2l0wbzasjevo,67igj3fctu1kt6ntkrwpdt72i,921,921,Valenciennes,Châteauroux,CHA,0,0,Played,T 0-0,2585252,CHA vs VFC (2025-08-08)
1,b97a5km6rb42fv858volubsi6,2340,Rouen,Rouen,ROU,Rouen,,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1048,"111,190","34,242","54,207","15,530",5698.9,1783.1,3470,4784,1128,366,88,2340,1,ROU vs FLE,true,false,false,true,false,2025-08-08,9lgxeut6ya6yogc3ko30bt15g,1z48unyzdkaoulghr9kkgt1g0,12199,12199,Rouen,Fleury,FLE,0,0,Played,T 0-0,2585254,ROU vs FLE (2025-08-08)
1,ab80vest6tgco121qtfyphq7c,1028,Caen,Caen,CAE,Caen,#000099,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1049,"111,925","32,468","55,111","15,993",5977.7,1757.2,3226,4625,1156,379,95,1028,1,CAE vs AUB,true,false,true,false,false,2025-08-08,9n55926todt99jo6fw6ckxwd0,7gytr31zcn0gcewa7pu1ed5hz,9600,9600,Caen,Aubagne,AUB,3,0,Played,W 3-0,2585258,CAE vs AUB (2025-08-08)
1,8ng94h4147jxd5oxgoaa95yl4,2541,Quevilly-Rouen Métropole,Quevilly-Rouen Métropole,QRM,QRM,#FFFF00,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1097,"110,116","35,410","51,808","15,080",5702.0,1625.4,3471,4630,1126,362,89,2541,1,P13 vs QRM,false,true,false,false,true,2025-08-08,9mq6uzg207budbj97hs6mfl04,f0ticxo5bjjif0gb54ewfdppm,21581,21581,Quevilly-Rouen Métropole,Paris 13 Atletico,P13,0,1,Played,L 0-1,2585257,P13 vs QRM (2025-08-08)
1,1z48unyzdkaoulghr9kkgt1g0,12199,Fleury,Fleury,FLE,Fleury,,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1052,"111,682","34,021","56,832","14,969",5085.3,1155.2,3535,4846,1122,339,68,12199,1,ROU vs FLE,false,true,false,true,false,2025-08-08,9lgxeut6ya6yogc3ko30bt15g,b97a5km6rb42fv858volubsi6,2340,2340,Fleury,Rouen,ROU,0,0,Played,T 0-0,2585254,ROU vs FLE (2025-08-08)
1,dse1eu8y1o3t00rlbxpgo084c,5427,Versailles,Versailles,VRS,Versailles,,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1055,"109,246","34,425","53,487","13,988",5268.4,1444.8,3362,4476,1015,339,79,5427,1,SBR vs VRS,false,true,true,false,false,2025-08-08,9nll2gzzo1za22ry9tffi6jh0,rv0okxl2zv1ow3me605xl8b5,3271,3271,Versailles,Stade Briochin,SBR,1,0,Played,W 1-0,2585259,SBR vs VRS (2025-08-08)
15,67igj3fctu1kt6ntkrwpdt72i,921,Châteauroux,Châteauroux,CHA,Châteauroux,#0000FF,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1089,"112,719","34,588","54,708","14,650",5826.1,1881.1,3483,4656,1056,368,101,921,2,CHA vs BBP,true,false,false,true,false,2025-08-15,9pcxn64arae6ilzn65cvcvf2s,bizl0ptma24fjoafuqclu8k5b,3312,3312,Châteauroux,Bourg-Péronnas,BBP,2,2,Played,T 2-2,2585264,CHA vs BBP (2025-08-15)
15,f0ticxo5bjjif0gb54ewfdppm,21581,Paris 13 Atletico,Paris 13 Atletico,P13,Paris 13,,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1120,"113,572","35,327","52,432","15,993",7091.6,3265.6,3395,4621,1157,417,167,21581,2,VRS vs P13,false,true,false,false,true,2025-08-15,9r1h3gsbf1u3gozvtyr592f4k,dse1eu8y1o3t00rlbxpgo084c,5427,5427,Paris 13 Atletico,Versailles,VRS,1,2,Played,L 1-2,2585269,VRS vs P13 (2025-08-15)
15,7gytr31zcn0gcewa7pu1ed5hz,9600,Aubagne,Aubagne,AUB,Aubagne,,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1070,"105,297","34,648","50,179","13,241",5731.0,2396.2,3312,4425,967,361,118,9600,2,AUB vs VIL,true,false,true,false,false,2025-08-15,9ocrnlbc92igj7dq37siqr8k4,36bxy6avfw3xp8ocj9frad4b7,3315,3315,Aubagne,Villefranche,VIL,3,1,Played,W 3-1,2585261,AUB vs VIL (2025-08-15)
15,79dc2mv3x269nhix3mkhc5wfu,2130,Dijon,Dijon,DIJ,Dijon,#FFA500,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1101,"112,323","35,545","54,228","15,694",5158.0,1567.0,3374,4645,1134,332,75,2130,2,DIJ vs ROU,true,false,false,true,false,2025-08-15,9p0x9drzv06l9ih49vc3o4kr8,b97a5km6rb42fv858volubsi6,2340,2340,Dijon,Rouen,ROU,1,1,Played,T 1-1,2585263,DIJ vs ROU (2025-08-15)
15,d79cmam5svw9j2mplbu9kut7p,6785,Orléans,Orléans,ORL,Orléans,#FFFF00,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1086,"110,298","32,565","50,118","14,939",6164.6,2039.6,2971,4079,1069,387,106,6785,2,SOC vs ORL,false,true,false,false,true,2025-08-15,9q105dwj8q5uc8wm2apel25n8,d9kwaceoj54pfprd6oc2hwae6,693,693,Orléans,Sochaux,SOC,0,5,Played,L 0-5,2585266,SOC vs ORL (2025-08-15)
15,d9kwaceoj54pfprd6oc2hwae6,693,Sochaux,Sochaux,SOC,Sochaux,#FFFF00,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1086,"110,136","33,205","49,494","15,424",5600.6,2250.5,3171,4262,1121,348,103,693,2,SOC vs ORL,true,false,true,false,false,2025-08-15,9q105dwj8q5uc8wm2apel25n8,d79cmam5svw9j2mplbu9kut7p,6785,6785,Sochaux,Orléans,ORL,5,0,Played,W 5-0,2585266,SOC vs ORL (2025-08-15)
15,9ri5xhi5qaozcqb7svbvcc4eu,14035,Le Puy Foot,Le Puy Foot,PUY,Le Puy,,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1071,"123,066","32,770","61,775","20,144",7862.8,2211.8,3591,5150,1423,490,119,14035,2,VFC vs PUY,false,true,false,false,true,2025-08-15,9qp91bvum338a7urggmn86iac,g8cvbv4wrvq7uf4347yjkd35,1996,1996,Le Puy Foot,Valenciennes,VFC,1,2,Played,L 1-2,2585268,VFC vs PUY (2025-08-15)
15,36bxy6avfw3xp8ocj9frad4b7,3315,Villefranche,Villefranche,VIL,Villefranche,,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1049,"105,282","34,001","49,237","13,714",5874.3,2064.0,3257,4412,1005,371,101,3315,2,AUB vs VIL,false,true,false,false,true,2025-08-15,9ocrnlbc92igj7dq37siqr8k4,7gytr31zcn0gcewa7pu1ed5hz,9600,9600,Villefranche,Aubagne,AUB,1,3,Played,L 1-3,2585261,AUB vs VIL (2025-08-15)
