Rank,teamId,teamImageId,teamFullName,team,teamAbbrevName,teamShortName,newestTeamColor,leagueId,leagueName,MinIncET,DistanceRun,WalkDist,JogDist,RunDist,HiSpeedRunDist,SprintDist,WalkCount,JogCount,RunCount,HiSpeedRunCount,SprintCount,optaTeamId,week,game,home,away,win,draw,loss,date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName.1,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,result,scatterId,scatterExtra
TOTAL,nan,nan,nan,-,nan,nan,nan,nan,nan,251102,24274919,7252091,11940630,3348365,1284274,411532,759701,1034273,243886,80485,20937,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-,nan,nan
AVERAGE,nan,nan,nan,-,nan,nan,nan,nan,nan,1064.0,24274919,7252091,11940630,3348365,1284274,411532,759701,1034273,243886,80485,20937,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-,nan,nan
Rank,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,newestTeamColor,leagueId,leagueName,MinIncET,DistanceRun,WalkDist,JogDist,RunDist,HiSpeedRunDist,SprintDist,WalkCount,JogCount,RunCount,HiSpeedRunCount,SprintCount,optaTeamId,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
1,67igj3fctu1kt6ntkrwpdt72i,921,Châteauroux,Châteauroux,CHA,Châteauroux,#0000FF,1qd0wvt30rlswa4g6nu4na660,National1(France),1076,112081,34045,53507,15692,6199.2,1921.8,3287,4422,1121,387,103,921,1,CHAvsVFC,true,false,false,true,false,2025-08-08,9kjs0g4b4ujxe2l0wbzasjevo,g8cvbv4wrvq7uf4347yjkd35,1996,1996,Châteauroux,Valenciennes,VFC,0,0,Played,T0-0,2585252,CHAvsVFC(2025-08-08)
1,f0ticxo5bjjif0gb54ewfdppm,21581,Paris13Atletico,Paris13Atletico,P13,Paris13,nan,1qd0wvt30rlswa4g6nu4na660,National1(France),1097,112059,34583,54577,15511,5957.1,1846.6,3425,4682,1144,372,98,21581,1,P13vsQRM,true,false,true,false,false,2025-08-08,9mq6uzg207budbj97hs6mfl04,8ng94h4147jxd5oxgoaa95yl4,2541,2541,Paris13Atletico,Quevilly-RouenMétropole,QRM,1,0,Played,W1-0,2585257,P13vsQRM(2025-08-08)
1,7gytr31zcn0gcewa7pu1ed5hz,9600,Aubagne,Aubagne,AUB,Aubagne,nan,1qd0wvt30rlswa4g6nu4na660,National1(France),1057,113056,32221,55602,16749,6180.4,1600.8,3338,4718,1228,399,90,9600,1,CAEvsAUB,false,true,false,false,true,2025-08-08,9n55926todt99jo6fw6ckxwd0,ab80vest6tgco121qtfyphq7c,1028,1028,Aubagne,Caen,CAE,0,3,Played,L0-3,2585258,CAEvsAUB(2025-08-08)
1,79dc2mv3x269nhix3mkhc5wfu,2130,Dijon,Dijon,DIJ,Dijon,#FFA500,1qd0wvt30rlswa4g6nu4na660,National1(France),1054,113451,34696,56428,15719,5873.8,1829.8,3642,4905,1125,379,89,2130,1,ORLvsDIJ,false,true,true,false,false,2025-08-08,9mbbx6uepbmlo5vas50d63ehg,d79cmam5svw9j2mplbu9kut7p,6785,6785,Dijon,Orléans,ORL,2,1,Played,W2-1,2585256,ORLvsDIJ(2025-08-08)
1,d79cmam5svw9j2mplbu9kut7p,6785,Orléans,Orléans,ORL,Orléans,#FFFF00,1qd0wvt30rlswa4g6nu4na660,National1(France),1054,110804,34914,54646,13965,5063.3,1618.9,3691,4891,1032,335,84,6785,1,ORLvsDIJ,true,false,false,false,true,2025-08-08,9mbbx6uepbmlo5vas50d63ehg,79dc2mv3x269nhix3mkhc5wfu,2130,2130,Orléans,Dijon,DIJ,1,2,Played,L1-2,2585256,ORLvsDIJ(2025-08-08)
1,d9kwaceoj54pfprd6oc2hwae6,693,Sochaux,Sochaux,SOC,Sochaux,#FFFF00,1qd0wvt30rlswa4g6nu4na660,National1(France),1083,109136,36004,51375,13583,5924.7,2374.5,3588,4629,1002,367,118,693,1,PUYvsSOC,false,true,true,false,false,2025-08-08,9lwd2ch8zx6y2ndb04n937zf8,9ri5xhi5qaozcqb7svbvcc4eu,14035,14035,Sochaux,LePuyFoot,PUY,1,0,Played,W1-0,2585255,PUYvsSOC(2025-08-08)
1,9ri5xhi5qaozcqb7svbvcc4eu,14035,LePuyFoot,LePuyFoot,PUY,LePuy,nan,1qd0wvt30rlswa4g6nu4na660,National1(France),1083,111485,35266,55433,14370,5699.0,2321.6,3629,4808,1034,361,119,14035,1,PUYvsSOC,true,false,false,false,true,2025-08-08,9lwd2ch8zx6y2ndb04n937zf8,d9kwaceoj54pfprd6oc2hwae6,693,693,LePuyFoot,Sochaux,SOC,0,1,Played,L0-1,2585255,PUYvsSOC(2025-08-08)
