Rank,playerId,playerImageId,player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,newestTeamId,newestTeam,newestTeamColor,newestLeagueId,newestLeague,optaPersonId,firstName,lastName,Position,GM,Min,Age,MinIncET,DistanceRun,WalkDist,JogDist,RunDist,HiSpeedRunDist,SprintDist,WalkCount,JogCount,RunCount,HiSpeedRunCount,SprintCount,week,game,home,away,win,draw,loss,date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,result,scatterId,scatterExtra,optaTeamId,teamId,team
Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,newestTeamId,newestTeam,newestTeamColor,newestLeagueId,newestLeague,optaPersonId,firstName,lastName,Position,GM,Min,Age,MinIncET,DistanceRun,WalkDist,JogDist,RunDist,HiSpeedRunDist,SprintDist,WalkCount,JogCount,RunCount,HiSpeedRunCount,SprintCount,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra,optaTeamId,teamId,Team
1,e6d4o93vge4jfpycvj7mdwx5h,242062,Alexandre Mendy,Alexandre Mendy,Centre Forward,147,Montpellier,Montpellier,MON,2cjpmotqo8phcqfpgo9xf4gel,Montpellier,#0000FF,4w7x0s5gfs5abasphlha5de8k,Ligue 2,189542,Alexandre,Mendy,Centre Forward,1,90,31,105,9323.1,3732.1,3805.0,1087.3,450.3,114.0,292,355,76,29,8,1,MON vs RED,true,false,false,true,false,2025-08-09,6uy5qate8bu1av4y0fkb1bdhw,7qdfg7vuzf70wurnpx0bawlqk,915,915,Montpellier,Red Star,RED,1,1,Played,T 1-1,2568746,MON vs RED (2025-08-09),147,2cjpmotqo8phcqfpgo9xf4gel,Montpellier
1,f3c5u3v9fehl16ztid18lbl5h,65764,H. Saivet,Henri Saivet,Defensive Midfielder,1983,Clermont,Clermont,CLE,17o35s8assv3kamxowzz77k4r,Clermont,#FF0033,4w7x0s5gfs5abasphlha5de8k,Ligue 2,43521,Henri,Saivet,Defensive Midfielder,1,90,35,101,"11,011",2994.1,6137.4,1503.3,290.1,25.9,333,463,108,17,2,1,DUN vs CLE,false,true,false,true,false,2025-08-09,6tzzjuh4apxy6ukdv20gqj7dg,15ip1h6m0b4e8xfi597y5uo5u,3288,3288,Clermont,Dunkerque,DUN,2,2,Played,T 2-2,2568744,DUN vs CLE (2025-08-09),1983,17o35s8assv3kamxowzz77k4r,Clermont
1,bqq4tqw6tp68c1fya04onf6c5,177241,A. Hunou,Adrien Hunou,Centre Attacking Midfielder,1983,Clermont,Clermont,CLE,17o35s8assv3kamxowzz77k4r,Clermont,#FF0033,4w7x0s5gfs5abasphlha5de8k,Ligue 2,161472,Adrien,Hunou,Centre Attacking Midfielder,1,72,31,74,9685.8,1956.3,5131.3,2049.5,520.8,85.3,223,397,147,37,4,1,DUN vs CLE,false,true,false,true,false,2025-08-09,6tzzjuh4apxy6ukdv20gqj7dg,15ip1h6m0b4e8xfi597y5uo5u,3288,3288,Clermont,Dunkerque,DUN,2,2,Played,T 2-2,2568744,DUN vs CLE (2025-08-09),1983,17o35s8assv3kamxowzz77k4r,Clermont
1,d9di1onr7adgs9votwk1sdlh,146888,Adrián Ortolá,Adrián Ortolá,Goalkeeper,428,Guingamp,Guingamp,EAG,e9mmk1w7cem6r4wysgassacef,Guingamp,#CC0033,4w7x0s5gfs5abasphlha5de8k,Ligue 2,94220,Adrián,Ortolá,Goalkeeper,1,90,32,106,6145.1,4059.2,1896.8,104.8,18.1,4.1,231,231,13,1,0,1,EAG vs LEM,true,false,false,true,false,2025-08-09,6rlyt989yctv1sjsrxkrgdxck,bj8hrmj01r3zit0x8r6qm2eu2,920,920,Guingamp,Le Mans,LEM,3,3,Played,T 3-3,2568739,EAG vs LEM (2025-08-09),428,e9mmk1w7cem6r4wysgassacef,Guingamp
1,4f9cu6k87brnodww2l1u9rob9,195195,F. Diédhiou,Famara Diédhiou,Centre Forward,1983,Clermont,Clermont,CLE,17o35s8assv3kamxowzz77k4r,Clermont,#FF0033,4w7x0s5gfs5abasphlha5de8k,Ligue 2,149535,Famara,Diédhiou,Centre Forward,1,89,32,92,9175.0,3270.7,4337.2,985.9,468.7,82.2,288,361,75,28,5,1,DUN vs CLE,false,true,false,true,false,2025-08-09,6tzzjuh4apxy6ukdv20gqj7dg,15ip1h6m0b4e8xfi597y5uo5u,3288,3288,Clermont,Dunkerque,DUN,2,2,Played,T 2-2,2568744,DUN vs CLE (2025-08-09),1983,17o35s8assv3kamxowzz77k4r,Clermont
1,7q7takrwpxuyk3wj8e86bbf85,162188,N. Saint-Ruf,Nicolas Saint-Ruf,Central Defender,148,Nancy,Nancy,NAC,69b9aoly33h1gpicvxtfteoug,Nancy,#ff0000,4w7x0s5gfs5abasphlha5de8k,Ligue 2,106884,Nicolas,Saint-Ruf,Central Defender,1,90,33,103,9731.0,3377.3,4726.1,1005.7,404.4,95.9,320,403,76,24,5,1,RAF vs NAC,false,true,false,true,false,2025-08-09,6tjnfksm3c2s3flr5plnv1dlg,2u30h0xpbfzv0byj4j7d8c4ug,3308,3308,Nancy,Rodez,RAF,0,0,Played,T 0-0,2568743,RAF vs NAC (2025-08-09),148,69b9aoly33h1gpicvxtfteoug,Nancy
1,9v3gt784gfqzhlv1lie1tx7f9,211320,E. Koffi,Erwin Koffi,Right Midfielder,428,Guingamp,Guingamp,EAG,e9mmk1w7cem6r4wysgassacef,Guingamp,#CC0033,4w7x0s5gfs5abasphlha5de8k,Ligue 2,198188,Erwin,Koffi,Right Midfielder,1,58,30,61,7011.4,1957.5,3342.8,1035.8,491.7,163.6,208,284,75,28,8,1,EAG vs LEM,true,false,false,true,false,2025-08-09,6rlyt989yctv1sjsrxkrgdxck,bj8hrmj01r3zit0x8r6qm2eu2,920,920,Guingamp,Le Mans,LEM,3,3,Played,T 3-3,2568739,EAG vs LEM (2025-08-09),428,e9mmk1w7cem6r4wysgassacef,Guingamp
1,52chn9w0r6gxhtfyvpd1eu1g5,232774,C. Suljic,Cazim Suljic,Central Midfielder,148,Nancy,Nancy,NAC,69b9aoly33h1gpicvxtfteoug,Nancy,#ff0000,4w7x0s5gfs5abasphlha5de8k,Ligue 2,200964,Cazim,Suljic,Central Midfielder,1,60,29,63,8000.2,1792.2,3681.0,1731.8,630.4,105.2,187,309,120,39,4,1,RAF vs NAC,false,true,false,true,false,2025-08-09,6tjnfksm3c2s3flr5plnv1dlg,2u30h0xpbfzv0byj4j7d8c4ug,3308,3308,Nancy,Rodez,RAF,0,0,Played,T 0-0,2568743,RAF vs NAC (2025-08-09),148,69b9aoly33h1gpicvxtfteoug,Nancy
1,b62ht99k43k1p3c1lpl45or85,199773,B. Guillaume,Baptiste Guillaume,Centre Forward,920,Le Mans,Le Mans,LEM,bj8hrmj01r3zit0x8r6qm2eu2,Le Mans,#FF3300,4w7x0s5gfs5abasphlha5de8k,Ligue 2,157728,Baptiste,Guillaume,Centre Forward,1,24,30,37,3864.9,1052.8,1738.7,574.1,242.3,88.2,99,150,42,15,4,1,EAG vs LEM,false,true,false,true,false,2025-08-09,6rlyt989yctv1sjsrxkrgdxck,e9mmk1w7cem6r4wysgassacef,428,428,Le Mans,Guingamp,EAG,3,3,Played,T 3-3,2568739,EAG vs LEM (2025-08-09),920,bj8hrmj01r3zit0x8r6qm2eu2,Le Mans
